"Time","MwxStbdRelativeHumidity stbd_mast_vaisala"
2025-01-11 09:00:00,76%
2025-01-11 09:02:00,76%
2025-01-11 09:04:00,75%
2025-01-11 09:06:00,74%
2025-01-11 09:08:00,73%
2025-01-11 09:10:00,75%
2025-01-11 09:12:00,73%
2025-01-11 09:14:00,73%
2025-01-11 09:16:00,74%
2025-01-11 09:18:00,73%
2025-01-11 09:20:00,76%
2025-01-11 09:22:00,75%
2025-01-11 09:24:00,74%
2025-01-11 09:26:00,75%
2025-01-11 09:28:00,74%
2025-01-11 09:30:00,72%
2025-01-11 09:32:00,72%
2025-01-11 09:34:00,71%
2025-01-11 09:36:00,73%
2025-01-11 09:38:00,73%
2025-01-11 09:40:00,73%
2025-01-11 09:42:00,75%
2025-01-11 09:44:00,76%
2025-01-11 09:46:00,77%
2025-01-11 09:48:00,74%
2025-01-11 09:50:00,75%
2025-01-11 09:52:00,74%
2025-01-11 09:54:00,75%
2025-01-11 09:56:00,73%
2025-01-11 09:58:00,74%
2025-01-11 10:00:00,74%
2025-01-11 10:02:00,75%
2025-01-11 10:04:00,75%
2025-01-11 10:06:00,74%
2025-01-11 10:08:00,75%
2025-01-11 10:10:00,75%
2025-01-11 10:12:00,75%
2025-01-11 10:14:00,75%
2025-01-11 10:16:00,75%
2025-01-11 10:18:00,76%
2025-01-11 10:20:00,74%
2025-01-11 10:22:00,75%
2025-01-11 10:24:00,76%
2025-01-11 10:26:00,74%
2025-01-11 10:28:00,74%
2025-01-11 10:30:00,74%
2025-01-11 10:32:00,73%
2025-01-11 10:34:00,72%
2025-01-11 10:36:00,73%
2025-01-11 10:38:00,73%
2025-01-11 10:40:00,76%
2025-01-11 10:42:00,75%
2025-01-11 10:44:00,73%
2025-01-11 10:46:00,73%
2025-01-11 10:48:00,74%
2025-01-11 10:50:00,74%
2025-01-11 10:52:00,75%
2025-01-11 10:54:00,77%
2025-01-11 10:56:00,75%
2025-01-11 10:58:00,75%
2025-01-11 11:00:00,75%
2025-01-11 11:02:00,77%
2025-01-11 11:04:00,77%
2025-01-11 11:06:00,78%
2025-01-11 11:08:00,77%
2025-01-11 11:10:00,76%
2025-01-11 11:12:00,78%
2025-01-11 11:14:00,76%
2025-01-11 11:16:00,74%
2025-01-11 11:18:00,73%
2025-01-11 11:20:00,75%
2025-01-11 11:22:00,77%
2025-01-11 11:24:00,77%
2025-01-11 11:26:00,78%
2025-01-11 11:28:00,77%
2025-01-11 11:30:00,77%
2025-01-11 11:32:00,75%
2025-01-11 11:34:00,74%
2025-01-11 11:36:00,74%
2025-01-11 11:38:00,75%
2025-01-11 11:40:00,75%
2025-01-11 11:42:00,75%
2025-01-11 11:44:00,75%
2025-01-11 11:46:00,76%
2025-01-11 11:48:00,77%
2025-01-11 11:50:00,74%
2025-01-11 11:52:00,75%
2025-01-11 11:54:00,74%
2025-01-11 11:56:00,75%
2025-01-11 11:58:00,75%
2025-01-11 12:00:00,76%
2025-01-11 12:02:00,76%
2025-01-11 12:04:00,77%
2025-01-11 12:06:00,76%
2025-01-11 12:08:00,77%
2025-01-11 12:10:00,76%
2025-01-11 12:12:00,75%
2025-01-11 12:14:00,74%
2025-01-11 12:16:00,75%
2025-01-11 12:18:00,76%
2025-01-11 12:20:00,76%
2025-01-11 12:22:00,77%
2025-01-11 12:24:00,75%
2025-01-11 12:26:00,74%
2025-01-11 12:28:00,76%
2025-01-11 12:30:00,74%
2025-01-11 12:32:00,76%
2025-01-11 12:34:00,75%
2025-01-11 12:36:00,76%
2025-01-11 12:38:00,76%
2025-01-11 12:40:00,77%
2025-01-11 12:42:00,77%
2025-01-11 12:44:00,78%
2025-01-11 12:46:00,76%
2025-01-11 12:48:00,77%
2025-01-11 12:50:00,77%
2025-01-11 12:52:00,77%
2025-01-11 12:54:00,76%
2025-01-11 12:56:00,76%
2025-01-11 12:58:00,77%
2025-01-11 13:00:00,76%
2025-01-11 13:02:00,75%
2025-01-11 13:04:00,75%
2025-01-11 13:06:00,76%
2025-01-11 13:08:00,75%
2025-01-11 13:10:00,76%
2025-01-11 13:12:00,74%
2025-01-11 13:14:00,76%
2025-01-11 13:16:00,76%
2025-01-11 13:18:00,76%
2025-01-11 13:20:00,75%
2025-01-11 13:22:00,76%
2025-01-11 13:24:00,77%
2025-01-11 13:26:00,76%
2025-01-11 13:28:00,77%
2025-01-11 13:30:00,77%
2025-01-11 13:32:00,77%
2025-01-11 13:34:00,77%
2025-01-11 13:36:00,78%
2025-01-11 13:38:00,77%
2025-01-11 13:40:00,77%
2025-01-11 13:42:00,75%
2025-01-11 13:44:00,75%
2025-01-11 13:46:00,76%
2025-01-11 13:48:00,76%
2025-01-11 13:50:00,78%
2025-01-11 13:52:00,74%
2025-01-11 13:54:00,75%
2025-01-11 13:56:00,76%
2025-01-11 13:58:00,75%
2025-01-11 14:00:00,77%
2025-01-11 14:02:00,74%
2025-01-11 14:04:00,75%
2025-01-11 14:06:00,76%
2025-01-11 14:08:00,76%
2025-01-11 14:10:00,76%
2025-01-11 14:12:00,75%
2025-01-11 14:14:00,77%
2025-01-11 14:16:00,77%
2025-01-11 14:18:00,77%
2025-01-11 14:20:00,76%
2025-01-11 14:22:00,75%
2025-01-11 14:24:00,74%
2025-01-11 14:26:00,74%
2025-01-11 14:28:00,74%
2025-01-11 14:30:00,74%
2025-01-11 14:32:00,74%
2025-01-11 14:33:02,74%
